"first_name","last_name","sex"
"Hercules","Baer","M"
"Hercules","Biron","F"
"Hercules","Birge","F"
"Hercules","Berstel","F"
"Hercules","Bernatsky","M"
"Hercules","Bail","F"
"Hercules","Benantar","F"
"Hercules","Bernardinello","F"
"Hercules","Bisiani","F"
"Hercules","Bain","F"
"Hercules","Brendel","F"
"Hercules","Barreiro","M"
"Hercules","Bodoff","M"
"Hercules","Basagni","M"
"Hercules","Baranowski","M"
"Hercules","Benzmuller","M"
"Hercules","Bahr","M"
"Hercules","Biran","F"
"Hercules","Buchter","M"
"Hercules","Baak","M"
